policy_id,policyholder_id,policy_type,coverage_amount,premium_amount,status,start_date,end_date,deductible,coverage_limits
POL_PH_000016_1,PH_000016,Auto,36.05,100,Active,2024-04-05 20:57:36.560125,2025-04-05 20:57:36.560125,4527.19,"{'per_incident': 28.84, 'annual': 36.05, 'lifetime': 72.1}"
POL_PH_000017_1,PH_000017,Life,42.54,100,Active,2023-12-26 20:57:36.560125,2024-12-25 20:57:36.560125,255.62,"{'per_incident': 34.03, 'annual': 42.54, 'lifetime': 85.08}"
POL_PH_000017_2,PH_000017,Health,133.76,100,Active,2022-11-04 20:57:36.560125,2023-11-04 20:57:36.560125,4585.85,"{'per_incident': 107.01, 'annual': 133.76, 'lifetime': 267.52}"
POL_PH_000018_1,PH_000018,Health,91.63,100,Active,2023-05-01 20:57:36.560125,2024-04-30 20:57:36.560125,358.24,"{'per_incident': 73.3, 'annual': 91.63, 'lifetime': 183.26}"
POL_PH_000019_1,PH_000019,Auto,111.72,100,Active,2022-12-14 20:57:36.560125,2023-12-14 20:57:36.560125,1606.63,"{'per_incident': 89.38, 'annual': 111.72, 'lifetime': 223.44}"
POL_PH_000019_2,PH_000019,Life,250.09,100,Active,2025-04-19 20:57:36.560125,2026-04-19 20:57:36.560125,4432.4,"{'per_incident': 200.07, 'annual': 250.09, 'lifetime': 500.18}"
POL_PH_000020_1,PH_000020,Home,112.63,100,Active,2025-02-23 20:57:36.560125,2026-02-23 20:57:36.560125,4736.85,"{'per_incident': 90.1, 'annual': 112.63, 'lifetime': 225.26}"
POL_PH_000020_2,PH_000020,Health,202.12,100,Active,2024-01-27 20:57:36.560125,2025-01-26 20:57:36.560125,2375.92,"{'per_incident': 161.7, 'annual': 202.12, 'lifetime': 404.24}"
POL_PH_000020_3,PH_000020,Disability,130.65,100,Active,2023-06-29 20:57:36.560125,2024-06-28 20:57:36.560125,3123.38,"{'per_incident': 104.52, 'annual': 130.65, 'lifetime': 261.3}"
POL_PH_000021_1,PH_000021,Life,15.43,100,Active,2024-11-13 20:57:36.560125,2025-11-13 20:57:36.560125,4754.83,"{'per_incident': 12.34, 'annual': 15.43, 'lifetime': 30.86}"
POL_PH_000021_2,PH_000021,Auto,17.98,100,Active,2023-04-16 20:57:36.560125,2024-04-15 20:57:36.560125,4235.83,"{'per_incident': 14.38, 'annual': 17.98, 'lifetime': 35.96}"
POL_PH_000022_1,PH_000022,Home,164.7,100,Active,2024-07-09 20:57:36.560125,2025-07-09 20:57:36.560125,4649.26,"{'per_incident': 131.76, 'annual': 164.7, 'lifetime': 329.4}"
POL_PH_000022_2,PH_000022,Health,89.5,100,Active,2024-03-29 20:57:36.560125,2025-03-29 20:57:36.560125,659.5,"{'per_incident': 71.6, 'annual': 89.5, 'lifetime': 179.0}"
POL_PH_000022_3,PH_000022,Health,149.26,100,Active,2025-07-13 20:57:36.560125,2026-07-13 20:57:36.560125,4787.51,"{'per_incident': 119.41, 'annual': 149.26, 'lifetime': 298.52}"
POL_PH_000023_1,PH_000023,Home,90.53,100,Active,2023-06-30 20:57:36.560125,2024-06-29 20:57:36.560125,3153.26,"{'per_incident': 72.42, 'annual': 90.53, 'lifetime': 181.06}"
POL_PH_000024_1,PH_000024,Disability,440.99,100,Active,2023-08-17 20:57:36.560125,2024-08-16 20:57:36.560125,4233.76,"{'per_incident': 352.79, 'annual': 440.99, 'lifetime': 881.98}"
POL_PH_000024_2,PH_000024,Home,430.91,100,Active,2022-12-13 20:57:36.561123,2023-12-13 20:57:36.561123,2677.85,"{'per_incident': 344.73, 'annual': 430.91, 'lifetime': 861.82}"
POL_PH_000025_1,PH_000025,Health,133.52,100,Inactive,2022-12-03 20:57:36.561123,2023-12-03 20:57:36.561123,4883.93,"{'per_incident': 106.82, 'annual': 133.52, 'lifetime': 267.04}"
POL_PH_000025_2,PH_000025,Auto,94.21,100,Active,2023-09-17 20:57:36.561123,2024-09-16 20:57:36.561123,218.69,"{'per_incident': 75.37, 'annual': 94.21, 'lifetime': 188.42}"
POL_PH_000026_1,PH_000026,Life,255.94,100,Active,2022-10-28 20:57:36.561123,2023-10-28 20:57:36.561123,2939.59,"{'per_incident': 204.75, 'annual': 255.94, 'lifetime': 511.88}"
POL_PH_000027_1,PH_000027,Home,30.81,100,Active,2023-11-02 20:57:36.561123,2024-11-01 20:57:36.561123,3406.86,"{'per_incident': 24.65, 'annual': 30.81, 'lifetime': 61.62}"
POL_PH_000028_1,PH_000028,Home,87.44,100,Active,2023-06-18 20:57:36.561123,2024-06-17 20:57:36.561123,454.63,"{'per_incident': 69.95, 'annual': 87.44, 'lifetime': 174.88}"
POL_PH_000028_2,PH_000028,Auto,357.32,100,Active,2024-02-15 20:57:36.561123,2025-02-14 20:57:36.561123,2499.4,"{'per_incident': 285.86, 'annual': 357.32, 'lifetime': 714.64}"
POL_PH_000029_1,PH_000029,Disability,96.15,100,Active,2024-08-18 20:57:36.562126,2025-08-18 20:57:36.562126,4879.87,"{'per_incident': 76.92, 'annual': 96.15, 'lifetime': 192.3}"
POL_PH_000029_2,PH_000029,Home,184.66,100,Active,2025-06-29 20:57:36.562126,2026-06-29 20:57:36.562126,3998.59,"{'per_incident': 147.73, 'annual': 184.66, 'lifetime': 369.32}"
POL_PH_000029_3,PH_000029,Auto,61.05,100,Inactive,2023-11-07 20:57:36.562126,2024-11-06 20:57:36.562126,2553.65,"{'per_incident': 48.84, 'annual': 61.05, 'lifetime': 122.1}"
POL_PH_000030_1,PH_000030,Health,22.8,100,Active,2024-05-30 20:57:36.562126,2025-05-30 20:57:36.562126,4862.75,"{'per_incident': 18.24, 'annual': 22.8, 'lifetime': 45.6}"
POL_PH_000030_2,PH_000030,Auto,41.85,100,Active,2025-06-22 20:57:36.562126,2026-06-22 20:57:36.562126,1946.12,"{'per_incident': 33.48, 'annual': 41.85, 'lifetime': 83.7}"
POL_PH_000031_1,PH_000031,Auto,179.35,100,Cancelled,2024-01-24 20:57:36.562126,2025-01-23 20:57:36.562126,1685.7,"{'per_incident': 143.48, 'annual': 179.35, 'lifetime': 358.7}"
POL_PH_000032_1,PH_000032,Auto,269.07,100,Inactive,2025-04-24 20:57:36.562634,2026-04-24 20:57:36.562634,341.83,"{'per_incident': 215.26, 'annual': 269.07, 'lifetime': 538.14}"
POL_PH_000032_2,PH_000032,Health,173.57,100,Active,2022-12-29 20:57:36.562634,2023-12-29 20:57:36.562634,2942.12,"{'per_incident': 138.86, 'annual': 173.57, 'lifetime': 347.14}"
POL_PH_000033_1,PH_000033,Auto,73.48,100,Active,2023-08-20 20:57:36.562634,2024-08-19 20:57:36.562634,3153.29,"{'per_incident': 58.78, 'annual': 73.48, 'lifetime': 146.96}"
POL_PH_000033_2,PH_000033,Home,61.36,100,Active,2024-05-02 20:57:36.562634,2025-05-02 20:57:36.562634,2403.59,"{'per_incident': 49.09, 'annual': 61.36, 'lifetime': 122.72}"
POL_PH_000034_1,PH_000034,Home,87.45,100,Active,2024-09-29 20:57:36.562634,2025-09-29 20:57:36.562634,2807.59,"{'per_incident': 69.96, 'annual': 87.45, 'lifetime': 174.9}"
POL_PH_000034_2,PH_000034,Home,62.48,100,Active,2025-01-28 20:57:36.562634,2026-01-28 20:57:36.562634,1156.68,"{'per_incident': 49.98, 'annual': 62.48, 'lifetime': 124.96}"
POL_PH_000034_3,PH_000034,Health,90.3,100,Active,2024-04-01 20:57:36.562634,2025-04-01 20:57:36.562634,283.09,"{'per_incident': 72.24, 'annual': 90.3, 'lifetime': 180.6}"
POL_PH_000035_1,PH_000035,Life,139.48,100,Active,2024-04-15 20:57:36.562634,2025-04-15 20:57:36.562634,4102.33,"{'per_incident': 111.58, 'annual': 139.48, 'lifetime': 278.96}"
POL_PH_000036_1,PH_000036,Home,170.91,100,Active,2024-02-23 20:57:36.563307,2025-02-22 20:57:36.563307,4508.73,"{'per_incident': 136.73, 'annual': 170.91, 'lifetime': 341.82}"
POL_PH_000037_1,PH_000037,Health,57.39,100,Inactive,2025-04-29 20:57:36.563307,2026-04-29 20:57:36.563307,2343.72,"{'per_incident': 45.91, 'annual': 57.39, 'lifetime': 114.78}"
POL_PH_000038_1,PH_000038,Life,58.84,100,Inactive,2024-05-29 20:57:36.563307,2025-05-29 20:57:36.563307,2924.22,"{'per_incident': 47.07, 'annual': 58.84, 'lifetime': 117.68}"
POL_PH_000038_2,PH_000038,Auto,57.25,100,Active,2023-06-18 20:57:36.563307,2024-06-17 20:57:36.563307,2615.63,"{'per_incident': 45.8, 'annual': 57.25, 'lifetime': 114.5}"
POL_PH_000039_1,PH_000039,Auto,340.3,100,Active,2023-08-26 20:57:36.563307,2024-08-25 20:57:36.563307,3557.51,"{'per_incident': 272.24, 'annual': 340.3, 'lifetime': 680.6}"
POL_PH_000040_1,PH_000040,Auto,83.91,100,Active,2024-08-31 20:57:36.563817,2025-08-31 20:57:36.563817,3755.8,"{'per_incident': 67.13, 'annual': 83.91, 'lifetime': 167.82}"
POL_PH_000041_1,PH_000041,Disability,109.12,100,Active,2024-08-26 20:57:36.563817,2025-08-26 20:57:36.563817,3594.45,"{'per_incident': 87.3, 'annual': 109.12, 'lifetime': 218.24}"
POL_PH_000042_1,PH_000042,Disability,180.36,100,Active,2024-04-24 20:57:36.563817,2025-04-24 20:57:36.563817,4207.89,"{'per_incident': 144.29, 'annual': 180.36, 'lifetime': 360.72}"
POL_PH_000042_2,PH_000042,Auto,141.81,100,Active,2023-11-09 20:57:36.563817,2024-11-08 20:57:36.563817,1222.86,"{'per_incident': 113.45, 'annual': 141.81, 'lifetime': 283.62}"
POL_PH_000043_1,PH_000043,Health,65.09,100,Inactive,2023-08-18 20:57:36.563817,2024-08-17 20:57:36.563817,2763.45,"{'per_incident': 52.07, 'annual': 65.09, 'lifetime': 130.18}"
POL_PH_000044_1,PH_000044,Auto,141.56,100,Active,2025-06-25 20:57:36.563817,2026-06-25 20:57:36.563817,2384.66,"{'per_incident': 113.25, 'annual': 141.56, 'lifetime': 283.12}"
POL_PH_000045_1,PH_000045,Home,581.88,100,Active,2023-09-01 20:57:36.563817,2024-08-31 20:57:36.563817,4927.43,"{'per_incident': 465.5, 'annual': 581.88, 'lifetime': 1163.76}"
POL_PH_000045_2,PH_000045,Auto,490.28,100,Active,2024-11-03 20:57:36.563817,2025-11-03 20:57:36.563817,3968.56,"{'per_incident': 392.22, 'annual': 490.28, 'lifetime': 980.56}"
POL_PH_000046_1,PH_000046,Health,29.31,100,Inactive,2024-08-01 20:57:36.563817,2025-08-01 20:57:36.563817,4357.16,"{'per_incident': 23.45, 'annual': 29.31, 'lifetime': 58.62}"
POL_PH_000047_1,PH_000047,Auto,16.0,100,Active,2022-11-17 20:57:36.563817,2023-11-17 20:57:36.563817,1392.94,"{'per_incident': 12.8, 'annual': 16.0, 'lifetime': 32.0}"
POL_PH_000047_2,PH_000047,Health,43.01,100,Active,2023-11-28 20:57:36.563817,2024-11-27 20:57:36.563817,3516.44,"{'per_incident': 34.41, 'annual': 43.01, 'lifetime': 86.02}"
POL_PH_000048_1,PH_000048,Auto,42.9,100,Cancelled,2024-08-27 20:57:36.563817,2025-08-27 20:57:36.563817,1890.13,"{'per_incident': 34.32, 'annual': 42.9, 'lifetime': 85.8}"
POL_PH_000048_2,PH_000048,Home,69.15,100,Cancelled,2022-11-21 20:57:36.563817,2023-11-21 20:57:36.563817,4482.9,"{'per_incident': 55.32, 'annual': 69.15, 'lifetime': 138.3}"
POL_PH_000049_1,PH_000049,Health,14.73,100,Active,2025-06-05 20:57:36.563817,2026-06-05 20:57:36.563817,1860.08,"{'per_incident': 11.78, 'annual': 14.73, 'lifetime': 29.46}"
POL_PH_000050_1,PH_000050,Disability,45.66,100,Active,2025-02-18 20:57:36.564829,2026-02-18 20:57:36.564829,2128.93,"{'per_incident': 36.53, 'annual': 45.66, 'lifetime': 91.32}"
POL_PH_000051_1,PH_000051,Home,81.5,100,Active,2025-04-28 20:57:36.564829,2026-04-28 20:57:36.564829,4645.42,"{'per_incident': 65.2, 'annual': 81.5, 'lifetime': 163.0}"
POL_PH_000051_2,PH_000051,Health,111.82,100,Inactive,2024-05-02 20:57:36.564829,2025-05-02 20:57:36.564829,4487.42,"{'per_incident': 89.46, 'annual': 111.82, 'lifetime': 223.64}"
POL_PH_000052_1,PH_000052,Disability,16.87,100,Active,2024-05-30 20:57:36.564829,2025-05-30 20:57:36.564829,1809.69,"{'per_incident': 13.5, 'annual': 16.87, 'lifetime': 33.74}"
POL_PH_000053_1,PH_000053,Home,31.17,100,Active,2025-07-12 20:57:36.564829,2026-07-12 20:57:36.564829,3808.56,"{'per_incident': 24.94, 'annual': 31.17, 'lifetime': 62.34}"
POL_PH_000053_2,PH_000053,Auto,57.7,100,Active,2022-12-17 20:57:36.564829,2023-12-17 20:57:36.564829,3035.91,"{'per_incident': 46.16, 'annual': 57.7, 'lifetime': 115.4}"
POL_PH_000054_1,PH_000054,Home,161.34,100,Cancelled,2025-08-20 20:57:36.564829,2026-08-20 20:57:36.564829,1241.69,"{'per_incident': 129.07, 'annual': 161.34, 'lifetime': 322.68}"
POL_PH_000055_1,PH_000055,Health,13.57,100,Active,2023-10-12 20:57:36.564829,2024-10-11 20:57:36.564829,3444.0,"{'per_incident': 10.86, 'annual': 13.57, 'lifetime': 27.14}"
POL_PH_000055_2,PH_000055,Home,49.86,100,Active,2024-07-05 20:57:36.564829,2025-07-05 20:57:36.564829,4196.51,"{'per_incident': 39.89, 'annual': 49.86, 'lifetime': 99.72}"
POL_PH_000056_1,PH_000056,Auto,454.27,100,Active,2024-11-27 20:57:36.564829,2025-11-27 20:57:36.564829,2166.96,"{'per_incident': 363.42, 'annual': 454.27, 'lifetime': 908.54}"
POL_PH_000056_2,PH_000056,Home,441.8,100,Active,2023-09-24 20:57:36.564829,2024-09-23 20:57:36.564829,2858.55,"{'per_incident': 353.44, 'annual': 441.8, 'lifetime': 883.6}"
POL_PH_000057_1,PH_000057,Life,71.48,100,Inactive,2024-08-23 20:57:36.564829,2025-08-23 20:57:36.564829,1660.74,"{'per_incident': 57.18, 'annual': 71.48, 'lifetime': 142.96}"
POL_PH_000057_2,PH_000057,Home,206.3,100,Inactive,2023-10-29 20:57:36.564829,2024-10-28 20:57:36.564829,1624.67,"{'per_incident': 165.04, 'annual': 206.3, 'lifetime': 412.6}"
POL_PH_000058_1,PH_000058,Auto,90.12,100,Active,2025-04-22 20:57:36.564829,2026-04-22 20:57:36.564829,1148.48,"{'per_incident': 72.1, 'annual': 90.12, 'lifetime': 180.24}"
POL_PH_000059_1,PH_000059,Home,53.24,100,Active,2025-07-08 20:57:36.564829,2026-07-08 20:57:36.564829,2316.09,"{'per_incident': 42.59, 'annual': 53.24, 'lifetime': 106.48}"
POL_PH_000059_2,PH_000059,Auto,87.12,100,Active,2024-10-23 20:57:36.565825,2025-10-23 20:57:36.565825,2693.89,"{'per_incident': 69.7, 'annual': 87.12, 'lifetime': 174.24}"
POL_PH_000059_3,PH_000059,Health,38.36,100,Active,2024-11-04 20:57:36.565825,2025-11-04 20:57:36.565825,3286.67,"{'per_incident': 30.69, 'annual': 38.36, 'lifetime': 76.72}"
POL_PH_000060_1,PH_000060,Disability,128.22,100,Active,2025-01-06 20:57:36.565825,2026-01-06 20:57:36.565825,3749.54,"{'per_incident': 102.58, 'annual': 128.22, 'lifetime': 256.44}"
POL_PH_000061_1,PH_000061,Auto,57.59,100,Active,2023-08-05 20:57:36.565825,2024-08-04 20:57:36.565825,3076.88,"{'per_incident': 46.07, 'annual': 57.59, 'lifetime': 115.18}"
POL_PH_000062_1,PH_000062,Auto,107.25,100,Active,2025-03-26 20:57:36.565825,2026-03-26 20:57:36.565825,2011.57,"{'per_incident': 85.8, 'annual': 107.25, 'lifetime': 214.5}"
POL_PH_000062_2,PH_000062,Life,201.78,100,Active,2023-07-18 20:57:36.565825,2024-07-17 20:57:36.565825,2044.61,"{'per_incident': 161.42, 'annual': 201.78, 'lifetime': 403.56}"
POL_PH_000063_1,PH_000063,Auto,65.54,100,Active,2023-06-03 20:57:36.565825,2024-06-02 20:57:36.565825,3185.17,"{'per_incident': 52.43, 'annual': 65.54, 'lifetime': 131.08}"
POL_PH_000063_2,PH_000063,Auto,126.2,100,Active,2025-01-27 20:57:36.565825,2026-01-27 20:57:36.565825,2954.13,"{'per_incident': 100.96, 'annual': 126.2, 'lifetime': 252.4}"
POL_PH_000064_1,PH_000064,Health,177.87,100,Active,2023-10-02 20:57:36.565825,2024-10-01 20:57:36.565825,3214.64,"{'per_incident': 142.3, 'annual': 177.87, 'lifetime': 355.74}"
POL_PH_000064_2,PH_000064,Health,181.66,100,Active,2023-12-12 20:57:36.565825,2024-12-11 20:57:36.565825,1132.02,"{'per_incident': 145.33, 'annual': 181.66, 'lifetime': 363.32}"
POL_PH_000065_1,PH_000065,Disability,51.14,100,Active,2023-10-31 20:57:36.565825,2024-10-30 20:57:36.565825,643.37,"{'per_incident': 40.91, 'annual': 51.14, 'lifetime': 102.28}"
POL_PH_000066_1,PH_000066,Life,20.72,100,Active,2024-11-15 20:57:36.565825,2025-11-15 20:57:36.565825,1687.44,"{'per_incident': 16.58, 'annual': 20.72, 'lifetime': 41.44}"
POL_PH_000066_2,PH_000066,Health,54.32,100,Active,2024-10-03 20:57:36.565825,2025-10-03 20:57:36.565825,1661.08,"{'per_incident': 43.46, 'annual': 54.32, 'lifetime': 108.64}"
POL_PH_000067_1,PH_000067,Home,154.62,100,Active,2023-03-11 20:57:36.565825,2024-03-10 20:57:36.565825,1902.11,"{'per_incident': 123.7, 'annual': 154.62, 'lifetime': 309.24}"
POL_PH_000068_1,PH_000068,Health,54.57,100,Active,2022-11-28 20:57:36.565825,2023-11-28 20:57:36.565825,203.71,"{'per_incident': 43.66, 'annual': 54.57, 'lifetime': 109.14}"
POL_PH_000068_2,PH_000068,Auto,29.73,100,Active,2023-11-11 20:57:36.565825,2024-11-10 20:57:36.565825,4990.84,"{'per_incident': 23.78, 'annual': 29.73, 'lifetime': 59.46}"
POL_PH_000069_1,PH_000069,Life,63.04,100,Active,2024-08-30 20:57:36.565825,2025-08-30 20:57:36.565825,4523.31,"{'per_incident': 50.43, 'annual': 63.04, 'lifetime': 126.08}"
POL_PH_000070_1,PH_000070,Home,14.54,100,Inactive,2023-08-22 20:57:36.566826,2024-08-21 20:57:36.566826,3929.46,"{'per_incident': 11.63, 'annual': 14.54, 'lifetime': 29.08}"
POL_PH_000071_1,PH_000071,Home,291.48,100,Active,2024-05-21 20:57:36.566826,2025-05-21 20:57:36.566826,4204.17,"{'per_incident': 233.18, 'annual': 291.48, 'lifetime': 582.96}"
POL_PH_000071_2,PH_000071,Auto,68.23,100,Active,2024-08-27 20:57:36.566826,2025-08-27 20:57:36.566826,3074.7,"{'per_incident': 54.58, 'annual': 68.23, 'lifetime': 136.46}"
POL_PH_000072_1,PH_000072,Health,49.58,100,Active,2023-07-09 20:57:36.566826,2024-07-08 20:57:36.566826,3919.17,"{'per_incident': 39.66, 'annual': 49.58, 'lifetime': 99.16}"
POL_PH_000073_1,PH_000073,Auto,108.33,100,Active,2023-12-02 20:57:36.566826,2024-12-01 20:57:36.566826,1557.25,"{'per_incident': 86.66, 'annual': 108.33, 'lifetime': 216.66}"
POL_PH_000073_2,PH_000073,Home,65.41,100,Active,2023-12-27 20:57:36.566826,2024-12-26 20:57:36.566826,3681.73,"{'per_incident': 52.33, 'annual': 65.41, 'lifetime': 130.82}"
POL_PH_000074_1,PH_000074,Home,151.92,100,Active,2024-12-04 20:57:36.566826,2025-12-04 20:57:36.566826,818.15,"{'per_incident': 121.54, 'annual': 151.92, 'lifetime': 303.84}"
POL_PH_000074_2,PH_000074,Life,149.73,100,Active,2024-08-23 20:57:36.566826,2025-08-23 20:57:36.566826,1050.09,"{'per_incident': 119.78, 'annual': 149.73, 'lifetime': 299.46}"
POL_PH_000075_1,PH_000075,Home,48.77,100,Cancelled,2025-08-18 20:57:36.566826,2026-08-18 20:57:36.566826,4083.21,"{'per_incident': 39.02, 'annual': 48.77, 'lifetime': 97.54}"
POL_PH_000076_1,PH_000076,Auto,74.01,100,Active,2023-06-12 20:57:36.566826,2024-06-11 20:57:36.566826,2265.27,"{'per_incident': 59.21, 'annual': 74.01, 'lifetime': 148.02}"
POL_PH_000076_2,PH_000076,Health,152.4,100,Inactive,2025-06-16 20:57:36.566826,2026-06-16 20:57:36.566826,901.25,"{'per_incident': 121.92, 'annual': 152.4, 'lifetime': 304.8}"
POL_PH_000076_3,PH_000076,Life,148.24,100,Active,2024-08-14 20:57:36.566826,2025-08-14 20:57:36.566826,556.39,"{'per_incident': 118.59, 'annual': 148.24, 'lifetime': 296.48}"
POL_PH_000077_1,PH_000077,Health,180.78,100,Active,2023-11-09 20:57:36.566826,2024-11-08 20:57:36.566826,556.98,"{'per_incident': 144.62, 'annual': 180.78, 'lifetime': 361.56}"
POL_PH_000077_2,PH_000077,Auto,88.03,100,Inactive,2024-05-26 20:57:36.566826,2025-05-26 20:57:36.566826,1554.65,"{'per_incident': 70.42, 'annual': 88.03, 'lifetime': 176.06}"
POL_PH_000078_1,PH_000078,Health,33.12,100,Active,2025-01-20 20:57:36.566826,2026-01-20 20:57:36.566826,2513.31,"{'per_incident': 26.5, 'annual': 33.12, 'lifetime': 66.24}"
POL_PH_000078_2,PH_000078,Home,20.51,100,Active,2022-11-09 20:57:36.566826,2023-11-09 20:57:36.566826,3975.73,"{'per_incident': 16.41, 'annual': 20.51, 'lifetime': 41.02}"
POL_PH_000078_3,PH_000078,Life,38.19,100,Active,2024-11-06 20:57:36.566826,2025-11-06 20:57:36.566826,4891.04,"{'per_incident': 30.55, 'annual': 38.19, 'lifetime': 76.38}"
POL_PH_000079_1,PH_000079,Auto,21.73,100,Active,2023-10-13 20:57:36.566826,2024-10-12 20:57:36.566826,2176.99,"{'per_incident': 17.38, 'annual': 21.73, 'lifetime': 43.46}"
POL_PH_000080_1,PH_000080,Auto,12.55,100,Inactive,2025-03-15 20:57:36.566826,2026-03-15 20:57:36.566826,2541.92,"{'per_incident': 10.04, 'annual': 12.55, 'lifetime': 25.1}"
POL_PH_000080_2,PH_000080,Disability,35.18,100,Active,2024-04-21 20:57:36.567824,2025-04-21 20:57:36.567824,3503.17,"{'per_incident': 28.14, 'annual': 35.18, 'lifetime': 70.36}"
POL_PH_000081_1,PH_000081,Health,172.45,100,Active,2023-09-11 20:57:36.567824,2024-09-10 20:57:36.567824,4032.6,"{'per_incident': 137.96, 'annual': 172.45, 'lifetime': 344.9}"
POL_PH_000082_1,PH_000082,Home,36.88,100,Active,2023-11-06 20:57:36.567824,2024-11-05 20:57:36.567824,2145.34,"{'per_incident': 29.5, 'annual': 36.88, 'lifetime': 73.76}"
POL_PH_000083_1,PH_000083,Home,42.92,100,Active,2024-09-12 20:57:36.567824,2025-09-12 20:57:36.567824,1928.8,"{'per_incident': 34.34, 'annual': 42.92, 'lifetime': 85.84}"
POL_PH_000084_1,PH_000084,Auto,68.12,100,Active,2025-02-21 20:57:36.567824,2026-02-21 20:57:36.567824,345.62,"{'per_incident': 54.5, 'annual': 68.12, 'lifetime': 136.24}"
