claim_id,policyholder_id,claim_type,claim_amount,severity,status,claim_date,description
CL_000070,PH_000163,Health,295.95,Low,Denied,2023-12-23 20:57:36.476985,Health claim - Low severity
CL_000071,PH_000565,Health,1461.21,Medium,Closed,2025-08-22 20:57:36.476985,Health claim - Medium severity
CL_000072,PH_000566,Property,4085.05,High,Denied,2023-06-07 20:57:36.476985,Property claim - High severity
CL_000073,PH_000096,Life,1266.98,Low,Closed,2024-06-16 20:57:36.476985,Life claim - Low severity
CL_000074,PH_000862,Auto,257.67,Low,Closed,2025-01-30 20:57:36.476985,Auto claim - Low severity
CL_000075,PH_000473,Auto,446.39,Low,Closed,2025-01-22 20:57:36.476985,Auto claim - Low severity
CL_000076,PH_000664,Health,668.9,Medium,Closed,2021-01-19 20:57:36.476985,Health claim - Medium severity
CL_000077,PH_000158,Property,1626.36,Medium,Under Review,2022-12-04 20:57:36.476985,Property claim - Medium severity
CL_000078,PH_000956,Health,359.7,Low,Closed,2021-09-13 20:57:36.476985,Health claim - Low severity
CL_000079,PH_000299,Health,237.94,Low,Open,2022-11-12 20:57:36.476985,Health claim - Low severity
CL_000080,PH_000723,Health,355.66,Low,Open,2024-03-09 20:57:36.476985,Health claim - Low severity
CL_000081,PH_000426,Disability,616.56,Medium,Closed,2021-01-14 20:57:36.476985,Disability claim - Medium severity
CL_000082,PH_000495,Auto,3583.49,High,Closed,2023-01-26 20:57:36.476985,Auto claim - High severity
CL_000083,PH_000250,Health,384.65,Low,Closed,2023-02-27 20:57:36.476985,Health claim - Low severity
CL_000084,PH_000565,Health,4507.38,High,Denied,2024-11-27 20:57:36.476985,Health claim - High severity
CL_000085,PH_000393,Life,744.64,Medium,Closed,2024-08-25 20:57:36.476985,Life claim - Medium severity
CL_000086,PH_000944,Auto,219.64,Medium,Closed,2022-05-11 20:57:36.476985,Auto claim - Medium severity
CL_000087,PH_000521,Property,1152.76,Medium,Open,2021-07-14 20:57:36.476985,Property claim - Medium severity
CL_000088,PH_000901,Property,436.99,Low,Closed,2024-12-14 20:57:36.476985,Property claim - Low severity
CL_000089,PH_000885,Property,983.83,Low,Closed,2025-04-30 20:57:36.476985,Property claim - Low severity
CL_000090,PH_000283,Property,4859.9,High,Open,2021-05-21 20:57:36.476985,Property claim - High severity
CL_000091,PH_000809,Disability,1418.57,High,Closed,2020-12-05 20:57:36.476985,Disability claim - High severity
CL_000092,PH_000425,Health,215.94,Low,Closed,2023-10-24 20:57:36.476985,Health claim - Low severity
CL_000093,PH_000957,Auto,547.27,Low,Closed,2021-04-20 20:57:36.477984,Auto claim - Low severity
CL_000094,PH_000520,Health,1058.3,Low,Open,2024-03-21 20:57:36.477984,Health claim - Low severity
CL_000095,PH_000841,Health,615.8,Medium,Closed,2025-09-14 20:57:36.477984,Health claim - Medium severity
CL_000096,PH_000290,Health,376.1,Low,Closed,2021-08-25 20:57:36.477984,Health claim - Low severity
CL_000097,PH_000306,Auto,483.72,Low,Closed,2021-01-08 20:57:36.477984,Auto claim - Low severity
CL_000098,PH_000602,Health,816.73,Medium,Closed,2022-06-20 20:57:36.477984,Health claim - Medium severity
CL_000099,PH_000676,Property,304.61,Low,Denied,2022-12-22 20:57:36.477984,Property claim - Low severity
CL_000100,PH_000887,Property,629.63,Low,Closed,2024-11-19 20:57:36.477984,Property claim - Low severity
CL_000101,PH_000458,Disability,1952.28,High,Closed,2022-09-12 20:57:36.477984,Disability claim - High severity
CL_000102,PH_000496,Auto,288.02,Low,Denied,2023-10-14 20:57:36.477984,Auto claim - Low severity
CL_000103,PH_000341,Auto,514.23,Low,Closed,2022-08-16 20:57:36.477984,Auto claim - Low severity
CL_000104,PH_000782,Auto,2959.69,High,Closed,2022-09-03 20:57:36.477984,Auto claim - High severity
CL_000105,PH_000387,Auto,856.22,Low,Closed,2023-03-02 20:57:36.477984,Auto claim - Low severity
CL_000106,PH_000956,Auto,315.09,Low,Closed,2023-11-30 20:57:36.477984,Auto claim - Low severity
CL_000107,PH_000891,Life,699.85,Low,Closed,2024-08-29 20:57:36.477984,Life claim - Low severity
CL_000108,PH_000715,Auto,575.93,Low,Closed,2024-05-18 20:57:36.477984,Auto claim - Low severity
CL_000109,PH_000586,Auto,826.98,Low,Closed,2023-07-28 20:57:36.477984,Auto claim - Low severity
CL_000110,PH_000240,Auto,450.06,Low,Closed,2020-12-01 20:57:36.477984,Auto claim - Low severity
CL_000111,PH_000795,Auto,5124.52,High,Closed,2023-06-01 20:57:36.477984,Auto claim - High severity
CL_000112,PH_000045,Property,450.26,Low,Closed,2023-12-08 20:57:36.477984,Property claim - Low severity
CL_000113,PH_000763,Health,2974.89,High,Closed,2023-01-25 20:57:36.477984,Health claim - High severity
CL_000114,PH_000723,Property,326.75,Low,Closed,2021-03-03 20:57:36.477984,Property claim - Low severity
CL_000115,PH_000391,Auto,526.57,Low,Closed,2023-07-22 20:57:36.477984,Auto claim - Low severity
CL_000116,PH_000680,Health,304.78,Low,Closed,2021-04-11 20:57:36.477984,Health claim - Low severity
CL_000117,PH_000841,Health,542.15,Medium,Closed,2022-01-23 20:57:36.477984,Health claim - Medium severity
CL_000118,PH_000156,Health,1441.11,Medium,Closed,2022-12-10 20:57:36.477984,Health claim - Medium severity
CL_000119,PH_000988,Auto,476.45,Low,Closed,2025-07-06 20:57:36.477984,Auto claim - Low severity
CL_000120,PH_000130,Health,6293.85,Critical,Closed,2022-11-26 20:57:36.477984,Health claim - Critical severity
CL_000121,PH_000989,Health,438.18,Low,Closed,2022-05-30 20:57:36.477984,Health claim - Low severity
CL_000122,PH_000340,Auto,1565.71,Medium,Closed,2020-11-03 20:57:36.477984,Auto claim - Medium severity
CL_000123,PH_000103,Property,427.88,Low,Under Review,2020-10-25 20:57:36.477984,Property claim - Low severity
CL_000124,PH_000866,Property,339.24,Low,Closed,2023-04-02 20:57:36.477984,Property claim - Low severity
CL_000125,PH_000103,Health,1284.95,Medium,Under Review,2022-10-08 20:57:36.477984,Health claim - Medium severity
CL_000126,PH_000933,Health,800.08,Medium,Closed,2023-02-27 20:57:36.477984,Health claim - Medium severity
CL_000127,PH_000016,Health,840.44,Low,Closed,2021-09-01 20:57:36.477984,Health claim - Low severity
CL_000128,PH_000148,Health,608.17,Low,Under Review,2023-06-03 20:57:36.478986,Health claim - Low severity
CL_000129,PH_000892,Auto,685.39,Medium,Closed,2022-01-18 20:57:36.478986,Auto claim - Medium severity
CL_000130,PH_000994,Property,1223.3,Medium,Closed,2024-11-07 20:57:36.478986,Property claim - Medium severity
CL_000131,PH_000077,Auto,418.61,Low,Under Review,2023-02-01 20:57:36.478986,Auto claim - Low severity
CL_000132,PH_000801,Auto,170.5,Low,Open,2024-03-26 20:57:36.478986,Auto claim - Low severity
CL_000133,PH_000347,Auto,499.69,Low,Closed,2022-03-23 20:57:36.478986,Auto claim - Low severity
CL_000134,PH_000710,Life,578.57,Low,Closed,2023-06-28 20:57:36.478986,Life claim - Low severity
CL_000135,PH_000666,Health,544.3,Low,Closed,2025-04-08 20:57:36.478986,Health claim - Low severity
CL_000136,PH_000873,Health,4489.64,High,Closed,2023-11-17 20:57:36.478986,Health claim - High severity
CL_000137,PH_000873,Health,556.11,Low,Closed,2021-12-08 20:57:36.478986,Health claim - Low severity
CL_000138,PH_000880,Life,174.09,Low,Closed,2022-09-23 20:57:36.478986,Life claim - Low severity
CL_000139,PH_000390,Property,291.39,Low,Denied,2023-12-11 20:57:36.478986,Property claim - Low severity
CL_000140,PH_000642,Health,1986.76,High,Closed,2021-09-09 20:57:36.478986,Health claim - High severity
CL_000141,PH_000909,Property,1126.75,Low,Closed,2021-06-17 20:57:36.478986,Property claim - Low severity
CL_000142,PH_000500,Auto,1972.57,Medium,Closed,2020-10-29 20:57:36.478986,Auto claim - Medium severity
CL_000143,PH_000555,Property,918.64,Medium,Closed,2025-07-08 20:57:36.478986,Property claim - Medium severity
CL_000144,PH_000633,Auto,385.89,Low,Denied,2025-05-02 20:57:36.478986,Auto claim - Low severity
CL_000145,PH_000241,Disability,479.33,Medium,Denied,2022-03-07 20:57:36.478986,Disability claim - Medium severity
CL_000146,PH_000701,Property,363.66,Low,Denied,2024-02-09 20:57:36.478986,Property claim - Low severity
CL_000147,PH_000233,Auto,1416.68,High,Closed,2021-07-13 20:57:36.478986,Auto claim - High severity
CL_000148,PH_000093,Property,755.63,Low,Closed,2023-04-15 20:57:36.478986,Property claim - Low severity
CL_000149,PH_000101,Life,340.72,Low,Closed,2021-06-15 20:57:36.478986,Life claim - Low severity
CL_000150,PH_000649,Auto,3462.06,High,Closed,2021-10-09 20:57:36.478986,Auto claim - High severity
CL_000151,PH_000894,Life,256.44,Low,Closed,2025-02-26 20:57:36.478986,Life claim - Low severity
CL_000152,PH_000455,Property,635.8,Low,Closed,2024-10-14 20:57:36.478986,Property claim - Low severity
CL_000153,PH_000711,Property,1266.5,Medium,Closed,2024-01-15 20:57:36.478986,Property claim - Medium severity
CL_000154,PH_000926,Health,2508.0,Medium,Closed,2025-07-22 20:57:36.478986,Health claim - Medium severity
CL_000155,PH_000048,Disability,352.42,Low,Closed,2023-11-25 20:57:36.478986,Disability claim - Low severity
CL_000156,PH_000816,Property,856.17,Low,Closed,2025-05-28 20:57:36.478986,Property claim - Low severity
CL_000157,PH_000301,Auto,675.28,Low,Closed,2023-09-16 20:57:36.478986,Auto claim - Low severity
CL_000158,PH_000384,Health,442.19,Low,Closed,2023-04-21 20:57:36.479987,Health claim - Low severity
CL_000159,PH_000150,Auto,852.3,Medium,Open,2024-05-07 20:57:36.479987,Auto claim - Medium severity
CL_000160,PH_000544,Auto,270.62,Low,Closed,2023-05-30 20:57:36.479987,Auto claim - Low severity
CL_000161,PH_000580,Auto,6764.75,High,Under Review,2021-11-23 20:57:36.479987,Auto claim - High severity
CL_000162,PH_000812,Auto,1070.58,Medium,Closed,2024-09-16 20:57:36.479987,Auto claim - Medium severity
CL_000163,PH_000175,Auto,370.11,Low,Closed,2024-09-26 20:57:36.479987,Auto claim - Low severity
CL_000164,PH_000081,Property,1996.81,High,Open,2022-04-20 20:57:36.479987,Property claim - High severity
CL_000165,PH_000892,Health,279.65,Low,Closed,2023-07-29 20:57:36.479987,Health claim - Low severity
CL_000166,PH_000635,Auto,2942.87,High,Closed,2021-11-20 20:57:36.479987,Auto claim - High severity
CL_000167,PH_000247,Property,179.01,Low,Closed,2022-12-05 20:57:36.479987,Property claim - Low severity
CL_000168,PH_000935,Health,806.19,Medium,Closed,2022-06-13 20:57:36.479987,Health claim - Medium severity
CL_000169,PH_000147,Health,1449.6,High,Open,2024-06-01 20:57:36.479987,Health claim - High severity
CL_000170,PH_000473,Life,440.73,Low,Closed,2022-02-21 20:57:36.479987,Life claim - Low severity
CL_000171,PH_000261,Property,235.05,Low,Closed,2023-02-21 20:57:36.479987,Property claim - Low severity
CL_000172,PH_000262,Auto,451.48,Low,Closed,2021-12-24 20:57:36.480985,Auto claim - Low severity
CL_000173,PH_000010,Life,1804.15,Medium,Closed,2021-03-17 20:57:36.481490,Life claim - Medium severity
CL_000174,PH_000477,Health,10756.4,Critical,Closed,2024-02-08 20:57:36.481490,Health claim - Critical severity
CL_000175,PH_000694,Property,387.09,Low,Closed,2022-08-27 20:57:36.481490,Property claim - Low severity
CL_000176,PH_000162,Auto,2797.5,High,Closed,2025-04-21 20:57:36.481490,Auto claim - High severity
CL_000177,PH_000453,Auto,12370.37,Critical,Open,2023-10-13 20:57:36.481490,Auto claim - Critical severity
CL_000178,PH_000602,Property,5117.19,High,Open,2024-01-16 20:57:36.481490,Property claim - High severity
CL_000179,PH_000655,Health,1191.83,Medium,Closed,2023-05-05 20:57:36.481490,Health claim - Medium severity
CL_000180,PH_000707,Property,482.26,Low,Denied,2024-04-25 20:57:36.481490,Property claim - Low severity
CL_000181,PH_000468,Auto,167.6,Low,Closed,2020-12-23 20:57:36.481490,Auto claim - Low severity
CL_000182,PH_000310,Auto,3018.26,Medium,Denied,2024-08-08 20:57:36.481490,Auto claim - Medium severity
CL_000183,PH_000394,Life,2721.45,High,Under Review,2020-12-07 20:57:36.481490,Life claim - High severity
CL_000184,PH_000495,Auto,30191.25,Critical,Closed,2025-02-13 20:57:36.481490,Auto claim - Critical severity
CL_000185,PH_000243,Health,179.72,Low,Closed,2023-07-31 20:57:36.481490,Health claim - Low severity
CL_000186,PH_000586,Auto,489.9,Low,Closed,2023-09-15 20:57:36.481490,Auto claim - Low severity
CL_000187,PH_000589,Auto,512.89,Medium,Closed,2024-01-23 20:57:36.481490,Auto claim - Medium severity
CL_000188,PH_000717,Property,532.48,Low,Under Review,2024-01-24 20:57:36.481490,Property claim - Low severity
CL_000189,PH_000023,Property,965.77,Low,Closed,2021-01-24 20:57:36.481490,Property claim - Low severity
CL_000190,PH_000675,Auto,625.22,Low,Closed,2023-07-02 20:57:36.481490,Auto claim - Low severity
CL_000191,PH_000282,Property,966.51,Medium,Under Review,2025-09-03 20:57:36.481490,Property claim - Medium severity
CL_000192,PH_000580,Property,796.96,Low,Closed,2020-11-13 20:57:36.481490,Property claim - Low severity
CL_000193,PH_000703,Auto,3145.88,High,Closed,2021-05-10 20:57:36.481490,Auto claim - High severity
CL_000194,PH_000763,Property,410.88,Low,Closed,2025-06-11 20:57:36.481490,Property claim - Low severity
CL_000195,PH_000933,Auto,330.56,Low,Closed,2022-04-27 20:57:36.481490,Auto claim - Low severity
CL_000196,PH_000764,Auto,1589.07,Medium,Denied,2022-12-07 20:57:36.481490,Auto claim - Medium severity
CL_000197,PH_000853,Health,847.88,Low,Closed,2024-02-11 20:57:36.481490,Health claim - Low severity
CL_000198,PH_000795,Auto,1732.74,Medium,Open,2021-03-28 20:57:36.481490,Auto claim - Medium severity
CL_000199,PH_000236,Property,356.64,Low,Closed,2022-04-25 20:57:36.481490,Property claim - Low severity
CL_000200,PH_000822,Auto,1360.06,Medium,Closed,2023-09-29 20:57:36.481490,Auto claim - Medium severity
CL_000201,PH_000225,Property,4126.55,Critical,Open,2022-02-24 20:57:36.481490,Property claim - Critical severity
CL_000202,PH_000195,Property,1110.01,Medium,Closed,2022-03-28 20:57:36.481490,Property claim - Medium severity
CL_000203,PH_000257,Health,1229.73,Medium,Closed,2021-12-01 20:57:36.481490,Health claim - Medium severity
CL_000204,PH_000774,Property,399.74,Low,Closed,2021-09-04 20:57:36.482498,Property claim - Low severity
CL_000205,PH_000786,Health,192.8,Low,Closed,2022-01-08 20:57:36.482498,Health claim - Low severity
CL_000206,PH_000698,Auto,1584.52,Medium,Closed,2021-01-07 20:57:36.482498,Auto claim - Medium severity
CL_000207,PH_000141,Property,1758.46,Medium,Closed,2022-03-13 20:57:36.482498,Property claim - Medium severity
CL_000208,PH_000100,Property,1034.63,Medium,Closed,2022-03-14 20:57:36.482498,Property claim - Medium severity
CL_000209,PH_000662,Property,1837.81,Medium,Closed,2025-07-01 20:57:36.482498,Property claim - Medium severity
CL_000210,PH_000317,Auto,1188.46,High,Open,2021-04-18 20:57:36.482498,Auto claim - High severity
CL_000211,PH_000452,Property,455.34,Low,Under Review,2025-07-13 20:57:36.482498,Property claim - Low severity
CL_000212,PH_000594,Property,4472.49,Critical,Closed,2023-09-03 20:57:36.482498,Property claim - Critical severity
CL_000213,PH_000750,Property,2518.62,Medium,Open,2024-12-24 20:57:36.482498,Property claim - Medium severity
CL_000214,PH_000093,Health,7192.81,High,Denied,2024-01-24 20:57:36.482498,Health claim - High severity
CL_000215,PH_000335,Auto,434.58,Low,Closed,2021-07-12 20:57:36.482498,Auto claim - Low severity
CL_000216,PH_000426,Property,981.96,Medium,Closed,2024-09-25 20:57:36.482498,Property claim - Medium severity
CL_000217,PH_000206,Health,830.18,Medium,Closed,2024-12-23 20:57:36.482498,Health claim - Medium severity
CL_000218,PH_000806,Property,201.35,Low,Under Review,2022-09-11 20:57:36.482498,Property claim - Low severity
CL_000219,PH_000898,Property,625.64,Low,Closed,2023-09-01 20:57:36.482498,Property claim - Low severity
CL_000220,PH_000544,Health,225.29,Low,Denied,2022-11-27 20:57:36.482498,Health claim - Low severity
CL_000221,PH_000936,Auto,203.93,Low,Under Review,2024-03-10 20:57:36.482498,Auto claim - Low severity
CL_000222,PH_000851,Health,11235.82,High,Closed,2024-10-18 20:57:36.482498,Health claim - High severity
CL_000223,PH_000264,Auto,491.74,Low,Closed,2021-02-04 20:57:36.482498,Auto claim - Low severity
CL_000224,PH_000967,Auto,1779.95,Medium,Denied,2023-01-07 20:57:36.482498,Auto claim - Medium severity
CL_000225,PH_000991,Health,1007.64,Medium,Closed,2021-03-13 20:57:36.482498,Health claim - Medium severity
CL_000226,PH_000303,Property,1164.0,Low,Open,2021-07-14 20:57:36.482498,Property claim - Low severity
CL_000227,PH_000892,Life,306.44,Low,Closed,2023-10-27 20:57:36.482498,Life claim - Low severity
CL_000228,PH_000824,Auto,324.73,Low,Open,2025-01-27 20:57:36.482498,Auto claim - Low severity
CL_000229,PH_000480,Health,349.3,Low,Under Review,2025-04-18 20:57:36.482498,Health claim - Low severity
CL_000230,PH_000145,Property,867.47,Medium,Under Review,2021-06-28 20:57:36.482498,Property claim - Medium severity
CL_000231,PH_000990,Auto,3310.33,Medium,Closed,2024-06-14 20:57:36.482498,Auto claim - Medium severity
CL_000232,PH_000881,Auto,3060.52,High,Denied,2021-12-04 20:57:36.482498,Auto claim - High severity
CL_000233,PH_000742,Health,277.22,Low,Closed,2021-12-08 20:57:36.482498,Health claim - Low severity
CL_000234,PH_000407,Life,2093.49,Medium,Closed,2020-12-22 20:57:36.482498,Life claim - Medium severity
CL_000235,PH_000824,Auto,512.38,Low,Closed,2022-08-05 20:57:36.482498,Auto claim - Low severity
CL_000236,PH_000375,Property,2918.63,High,Closed,2025-03-19 20:57:36.482498,Property claim - High severity
CL_000237,PH_000810,Property,670.27,Medium,Closed,2023-07-04 20:57:36.482498,Property claim - Medium severity
CL_000238,PH_000015,Health,911.92,Low,Closed,2024-03-27 20:57:36.482498,Health claim - Low severity
CL_000239,PH_000550,Property,1411.95,Low,Closed,2025-01-09 20:57:36.483497,Property claim - Low severity
CL_000240,PH_000466,Auto,595.61,Low,Closed,2023-08-27 20:57:36.483497,Auto claim - Low severity
CL_000241,PH_000689,Health,253.74,Low,Denied,2021-07-09 20:57:36.483497,Health claim - Low severity
CL_000242,PH_000689,Auto,244.92,Low,Open,2024-04-01 20:57:36.483497,Auto claim - Low severity
CL_000243,PH_000599,Auto,3789.66,High,Closed,2023-08-01 20:57:36.483497,Auto claim - High severity
CL_000244,PH_000843,Health,523.05,Low,Closed,2022-02-20 20:57:36.483497,Health claim - Low severity
CL_000245,PH_000963,Auto,286.6,Low,Open,2023-08-21 20:57:36.483497,Auto claim - Low severity
CL_000246,PH_000111,Life,2544.39,High,Closed,2021-12-07 20:57:36.483497,Life claim - High severity
CL_000247,PH_000240,Property,23721.77,Critical,Denied,2023-01-28 20:57:36.483497,Property claim - Critical severity
CL_000248,PH_000026,Property,3406.66,High,Denied,2022-03-31 20:57:36.483497,Property claim - High severity
CL_000249,PH_000906,Life,124.31,Low,Closed,2022-07-28 20:57:36.483497,Life claim - Low severity
CL_000250,PH_000336,Property,948.2,Medium,Closed,2022-04-19 20:57:36.483497,Property claim - Medium severity
CL_000251,PH_000227,Auto,1360.36,Medium,Closed,2022-02-01 20:57:36.483497,Auto claim - Medium severity
CL_000252,PH_000065,Auto,1874.53,High,Under Review,2022-02-26 20:57:36.483497,Auto claim - High severity
CL_000253,PH_000844,Auto,834.98,Low,Open,2023-02-12 20:57:36.483497,Auto claim - Low severity
CL_000254,PH_000932,Auto,2431.19,High,Closed,2021-10-15 20:57:36.483497,Auto claim - High severity
CL_000255,PH_000310,Property,1936.99,Medium,Closed,2022-01-29 20:57:36.483497,Property claim - Medium severity
CL_000256,PH_000419,Property,10216.7,High,Closed,2025-01-24 20:57:36.483497,Property claim - High severity
CL_000257,PH_000144,Health,1550.62,Medium,Closed,2025-06-19 20:57:36.483497,Health claim - Medium severity
CL_000258,PH_000969,Life,2494.4,High,Closed,2025-07-05 20:57:36.483497,Life claim - High severity
CL_000259,PH_000312,Life,860.67,Low,Closed,2022-12-16 20:57:36.483497,Life claim - Low severity
CL_000260,PH_000119,Health,281.44,Low,Closed,2025-03-04 20:57:36.483497,Health claim - Low severity
